r: 182, g: 131, b: 84
r: 130, g: 72, b: 25
r: 151, g: 93, b: 46
r: 179, g: 118, b: 75
r: 158, g: 97, b: 54
r: 169, g: 110, b: 64
r: 180, g: 122, b: 75
r: 164, g: 110, b: 65
r: 179, g: 125, b: 80
r: 198, g: 146, b: 100
r: 182, g: 131, b: 84
r: 182, g: 138, b: 100
r: 177, g: 133, b: 96
r: 155, g: 113, b: 73
r: 149, g: 108, b: 67
r: 166, g: 122, b: 84
r: 164, g: 120, b: 83
r: 150, g: 109, b: 68
r: 150, g: 109, b: 68
r: 168, g: 124, b: 86
r: 163, g: 119, b: 82
r: 143, g: 102, b: 61
r: 157, g: 116, b: 75
r: 148, g: 104, b: 67
r: 141, g: 97, b: 60
r: 180, g: 139, b: 98
r: 177, g: 136, b: 95
r: 160, g: 122, b: 89
r: 165, g: 127, b: 95
r: 171, g: 134, b: 99
r: 188, g: 150, b: 115
r: 172, g: 134, b: 102
r: 170, g: 132, b: 99
r: 196, g: 158, b: 123
r: 172, g: 135, b: 100
r: 158, g: 120, b: 88
r: 161, g: 123, b: 90
r: 161, g: 123, b: 88
r: 175, g: 137, b: 102
r: 183, g: 145, b: 112
r: 162, g: 124, b: 91
r: 158, g: 121, b: 86
r: 192, g: 155, b: 119
r: 179, g: 133, b: 92
r: 182, g: 137, b: 95
r: 165, g: 119, b: 78
r: 168, g: 123, b: 81
r: 170, g: 129, b: 88
r: 150, g: 109, b: 68
r: 154, g: 115, b: 76
r: 177, g: 138, b: 99
r: 176, g: 138, b: 103
r: 144, g: 107, b: 72
r: 193, g: 157, b: 124
r: 214, g: 178, b: 145
r: 172, g: 141, b: 108
r: 186, g: 155, b: 122
r: 187, g: 156, b: 124
r: 127, g: 96, b: 63
r: 151, g: 119, b: 77
r: 187, g: 155, b: 113
r: 167, g: 133, b: 92
r: 160, g: 126, b: 85
r: 183, g: 151, b: 110
r: 158, g: 126, b: 84
r: 141, g: 106, b: 65
r: 172, g: 138, b: 97
r: 181, g: 149, b: 107
r: 148, g: 116, b: 75
r: 170, g: 135, b: 94
r: 198, g: 163, b: 122
r: 173, g: 141, b: 99
r: 151, g: 119, b: 77
r: 160, g: 126, b: 85
r: 165, g: 131, b: 90
r: 168, g: 135, b: 101
r: 165, g: 131, b: 97
r: 191, g: 158, b: 126
r: 173, g: 139, b: 107
r: 132, g: 99, b: 64
r: 147, g: 114, b: 80
r: 176, g: 143, b: 111
r: 181, g: 147, b: 115
r: 176, g: 143, b: 109
r: 180, g: 147, b: 112
r: 175, g: 141, b: 110
r: 179, g: 145, b: 113
r: 181, g: 148, b: 113
r: 182, g: 149, b: 115
r: 176, g: 143, b: 111
r: 146, g: 112, b: 80
r: 157, g: 126, b: 95
r: 169, g: 137, b: 107
r: 143, g: 112, b: 81
r: 171, g: 140, b: 109
r: 180, g: 146, b: 114
r: 131, g: 97, b: 65
r: 152, g: 117, b: 83
r: 198, g: 162, b: 128
r: 148, g: 109, b: 72
r: 179, g: 139, b: 102
r: 162, g: 120, b: 82
r: 143, g: 101, b: 63
r: 163, g: 120, b: 80
r: 153, g: 109, b: 69
r: 131, g: 87, b: 47
r: 148, g: 104, b: 65
r: 167, g: 133, b: 94
r: 164, g: 129, b: 91
r: 196, g: 159, b: 121
r: 183, g: 146, b: 108
r: 149, g: 114, b: 76
r: 146, g: 112, b: 73
r: 156, g: 119, b: 81
r: 178, g: 141, b: 103
r: 134, g: 99, b: 60
r: 208, g: 173, b: 135
r: 208, g: 171, b: 134
r: 148, g: 111, b: 73
r: 120, g: 85, b: 46
r: 163, g: 128, b: 90
r: 186, g: 149, b: 112
r: 120, g: 83, b: 45
r: 203, g: 171, b: 118
r: 158, g: 126, b: 73
r: 108, g: 68, b: 18
r: 149, g: 109, b: 59
r: 218, g: 169, b: 122
r: 156, g: 107, b: 60
r: 111, g: 53, b: 9
r: 173, g: 114, b: 70
r: 172, g: 111, b: 68
r: 184, g: 123, b: 80
r: 158, g: 99, b: 55
r: 153, g: 95, b: 51
r: 190, g: 136, b: 90
r: 191, g: 137, b: 91
r: 170, g: 121, b: 74
r: 188, g: 139, b: 91
r: 178, g: 137, b: 96
r: 153, g: 112, b: 72
r: 155, g: 111, b: 74
r: 157, g: 113, b: 76
r: 153, g: 112, b: 72
r: 180, g: 139, b: 98
r: 190, g: 146, b: 108
r: 150, g: 106, b: 69
r: 138, g: 97, b: 56
r: 177, g: 136, b: 95
r: 150, g: 106, b: 69
r: 140, g: 96, b: 58
r: 163, g: 122, b: 81
r: 165, g: 124, b: 83
r: 163, g: 119, b: 82
r: 155, g: 111, b: 74
r: 165, g: 128, b: 93
r: 129, g: 92, b: 57
r: 144, g: 106, b: 74
r: 214, g: 176, b: 144
r: 193, g: 156, b: 121
r: 134, g: 96, b: 61
r: 157, g: 119, b: 87
r: 186, g: 148, b: 116
r: 153, g: 115, b: 80
r: 170, g: 133, b: 97
r: 167, g: 129, b: 96
r: 158, g: 120, b: 88
r: 167, g: 129, b: 94
r: 167, g: 129, b: 94
r: 168, g: 130, b: 97
r: 185, g: 147, b: 115
r: 178, g: 132, b: 90
r: 175, g: 130, b: 88
r: 130, g: 84, b: 43
r: 165, g: 119, b: 78
r: 173, g: 132, b: 91
r: 134, g: 92, b: 52
r: 161, g: 122, b: 83
r: 186, g: 146, b: 107
r: 174, g: 136, b: 101
r: 143, g: 106, b: 71
r: 201, g: 166, b: 132
r: 215, g: 180, b: 146
r: 199, g: 168, b: 135
r: 204, g: 173, b: 140
r: 161, g: 130, b: 97
r: 145, g: 114, b: 82
r: 195, g: 163, b: 121
r: 155, g: 123, b: 82
r: 189, g: 155, b: 114
r: 181, g: 147, b: 106
r: 118, g: 86, b: 44
r: 145, g: 113, b: 71
r: 188, g: 154, b: 113
r: 167, g: 133, b: 92
r: 142, g: 110, b: 69
r: 170, g: 138, b: 97
r: 167, g: 133, b: 92
r: 161, g: 127, b: 86
r: 180, g: 148, b: 106
r: 179, g: 147, b: 105
r: 154, g: 120, b: 79
r: 147, g: 113, b: 72
r: 210, g: 177, b: 142
r: 167, g: 134, b: 99
r: 145, g: 111, b: 79
r: 174, g: 140, b: 108
r: 154, g: 121, b: 87
r: 123, g: 89, b: 55
r: 160, g: 126, b: 94
r: 188, g: 154, b: 122
r: 160, g: 127, b: 92
r: 144, g: 110, b: 76
r: 165, g: 131, b: 99
r: 149, g: 116, b: 84
r: 154, g: 121, b: 87
r: 184, g: 151, b: 117
r: 179, g: 145, b: 113
r: 206, g: 173, b: 141
r: 169, g: 137, b: 107
r: 143, g: 112, b: 81
r: 197, g: 165, b: 135
r: 176, g: 144, b: 114
r: 124, g: 90, b: 58
r: 168, g: 135, b: 103
r: 192, g: 156, b: 123
r: 166, g: 131, b: 97
r: 137, g: 97, b: 60
r: 205, g: 166, b: 129
r: 150, g: 108, b: 70
r: 121, g: 79, b: 41
r: 196, g: 152, b: 112
r: 156, g: 113, b: 73
r: 88, g: 44, b: 4
r: 150, g: 107, b: 67
r: 199, g: 164, b: 126
r: 154, g: 120, b: 81
r: 191, g: 154, b: 116
r: 198, g: 161, b: 123
r: 128, g: 93, b: 55
r: 125, g: 91, b: 52
r: 172, g: 135, b: 98
r: 178, g: 141, b: 103
r: 152, g: 117, b: 79
r: 191, g: 156, b: 117
r: 176, g: 139, b: 101
r: 137, g: 100, b: 63
r: 135, g: 100, b: 62
r: 153, g: 119, b: 80
r: 158, g: 121, b: 84
r: 142, g: 105, b: 67
r: 157, g: 124, b: 72
r: 153, g: 121, b: 68
r: 145, g: 106, b: 55
r: 151, g: 111, b: 61
r: 182, g: 133, b: 86
r: 182, g: 133, b: 86
r: 159, g: 100, b: 56
r: 136, g: 77, b: 33
r: 169, g: 108, b: 65
r: 191, g: 130, b: 87
r: 162, g: 103, b: 59
r: 153, g: 95, b: 51
r: 191, g: 137, b: 91
r: 187, g: 133, b: 88
r: 163, g: 114, b: 67
r: 191, g: 142, b: 95
r: 180, g: 139, b: 98
r: 148, g: 106, b: 66
r: 140, g: 96, b: 58
r: 162, g: 118, b: 81
