r unclip: 145, g unclip: 106, b unclip: 55
r unclip: 151, g unclip: 111, b unclip: 61
r unclip: 182, g unclip: 133, b unclip: 86
r unclip: 182, g unclip: 133, b unclip: 86
r unclip: 159, g unclip: 100, b unclip: 56
r unclip: 136, g unclip: 77, b unclip: 33
r unclip: 169, g unclip: 108, b unclip: 65
r unclip: 191, g unclip: 130, b unclip: 87
r unclip: 162, g unclip: 103, b unclip: 59
r unclip: 153, g unclip: 94, b unclip: 51
r unclip: 191, g unclip: 137, b unclip: 91
r unclip: 187, g unclip: 133, b unclip: 88
r unclip: 163, g unclip: 114, b unclip: 67
r unclip: 191, g unclip: 142, b unclip: 95
r unclip: 180, g unclip: 139, b unclip: 98
r unclip: 148, g unclip: 106, b unclip: 66
r unclip: 140, g unclip: 96, b unclip: 58
r unclip: 162, g unclip: 118, b unclip: 81
r unclip: 178, g unclip: 137, b unclip: 96
r unclip: 185, g unclip: 144, b unclip: 103
r unclip: 184, g unclip: 140, b unclip: 103
r unclip: 178, g unclip: 134, b unclip: 97
r unclip: 172, g unclip: 131, b unclip: 90
r unclip: 171, g unclip: 130, b unclip: 89
r unclip: 153, g unclip: 109, b unclip: 71
r unclip: 150, g unclip: 106, b unclip: 69
r unclip: 162, g unclip: 120, b unclip: 80
r unclip: 163, g unclip: 122, b unclip: 81
r unclip: 160, g unclip: 116, b unclip: 78
r unclip: 152, g unclip: 108, b unclip: 70
r unclip: 110, g unclip: 72, b unclip: 37
r unclip: 167, g unclip: 129, b unclip: 94
r unclip: 170, g unclip: 132, b unclip: 99
r unclip: 174, g unclip: 136, b unclip: 103
r unclip: 179, g unclip: 142, b unclip: 107
r unclip: 162, g unclip: 124, b unclip: 89
r unclip: 158, g unclip: 120, b unclip: 88
r unclip: 153, g unclip: 115, b unclip: 82
r unclip: 206, g unclip: 169, b unclip: 133
r unclip: 144, g unclip: 107, b unclip: 72
r unclip: 139, g unclip: 101, b unclip: 68
r unclip: 210, g unclip: 172, b unclip: 139
r unclip: 218, g unclip: 180, b unclip: 145
r unclip: 140, g unclip: 102, b unclip: 67
r unclip: 142, g unclip: 104, b unclip: 71
r unclip: 239, g unclip: 201, b unclip: 168
r unclip: 172, g unclip: 126, b unclip: 85
r unclip: 187, g unclip: 141, b unclip: 100
r unclip: 196, g unclip: 153, b unclip: 110
r unclip: 141, g unclip: 98, b unclip: 56
r unclip: 160, g unclip: 116, b unclip: 76
r unclip: 207, g unclip: 164, b unclip: 124
r unclip: 155, g unclip: 116, b unclip: 77
r unclip: 134, g unclip: 95, b unclip: 56
r unclip: 199, g unclip: 162, b unclip: 126
r unclip: 168, g unclip: 130, b unclip: 95
r unclip: 146, g unclip: 113, b unclip: 78
r unclip: 210, g unclip: 177, b unclip: 142
r unclip: 205, g unclip: 172, b unclip: 140
r unclip: 155, g unclip: 122, b unclip: 90
r unclip: 182, g unclip: 150, b unclip: 118
r unclip: 179, g unclip: 148, b unclip: 115
r unclip: 157, g unclip: 122, b unclip: 84
r unclip: 147, g unclip: 113, b unclip: 74
r unclip: 178, g unclip: 146, b unclip: 107
r unclip: 178, g unclip: 146, b unclip: 107
r unclip: 153, g unclip: 119, b unclip: 80
r unclip: 168, g unclip: 134, b unclip: 95
r unclip: 183, g unclip: 151, b unclip: 112
r unclip: 173, g unclip: 140, b unclip: 101
r unclip: 164, g unclip: 129, b unclip: 91
r unclip: 142, g unclip: 107, b unclip: 69
r unclip: 168, g unclip: 136, b unclip: 97
r unclip: 184, g unclip: 152, b unclip: 113
r unclip: 147, g unclip: 113, b unclip: 74
r unclip: 141, g unclip: 106, b unclip: 67
r unclip: 173, g unclip: 140, b unclip: 101
r unclip: 183, g unclip: 151, b unclip: 112
r unclip: 147, g unclip: 114, b unclip: 82
r unclip: 182, g unclip: 148, b unclip: 117
r unclip: 215, g unclip: 181, b unclip: 147
